Standing Eye Height: 159.118484
None	0.0	159.890747	
SunTemple	68.583633	144.591827	
BlueprintOffice	25.730766	145.232895	
SifiW	30.20356	145.453613	
SunTemple	-67.470322	146.843063	
Scifi_Bunk	-48.397472	146.615234	
SunTemple	47.528305	148.490128	
None	0.0	115.66687	
BlueprintOffice	48.29982	108.751022	
Room	16.555679	108.761215	
Scifi_Bunk	-72.304451	108.813477	
BlueprintOffice	36.52211	108.985001	
Scifi_Bunk	-65.097198	108.915039	
SunTemple	55.106659	108.888489	
Scifi_Bunk	29.432053	108.800781	
BlueprintOffice	55.800049	108.770508	
SunTemple	-32.0835	108.829453	
Room	-48.167976	108.923103	
BlueprintOffice	69.3405	108.969147	
SunTemple	-17.971741	108.914986	
None	0.0	122.238899	
Standing Eye Height: 122.252663
Room	-41.165806	120.965805	
BlueprintOffice	-75.97644	112.227295	
SifiW	-15.666985	118.821289	
Standing Eye Height: 120.628777
None	0.0	120.669983	
Scifi_Bunk	-12.07312	117.479492	
BlueprintOffice	23.850822	104.954025	
SifiW	47.137672	116.73291	
BlueprintOffice	24.690697	116.403168	
Standing Eye Height: 157.749161
Standing Eye Height: 158.252975
None	0.0	159.313034	
Room	57.113556	145.64151	
SunTemple	57.816711	146.087875	
Standing Eye Height: 158.844009
None	0.0	158.087372	
SunTemple	-45.843685	154.863617	
BlueprintOffice	-22.849819	160.42453	
Room	-41.947083	147.26265	
SunTemple	-1.101105	150.957962	
Room	68.617813	159.473175	
SifiW	-41.883602	157.789795	
BlueprintOffice	50.585037	150.352707	
Room	5.940125	150.811279	
SifiW	76.415909	149.626221	
BlueprintOffice	-26.692711	156.751587	
SifiW	33.851128	161.178223	
SunTemple	-41.204872	148.388214	
BlueprintOffice	-79.643547	159.819977	
Room	-28.045288	160.778	
